zone,start_local,start_utc,duration_sec,accuracy,source
Randreihe,2026-05-20 13:00:00,2026-05-20 11:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 14:00:00,2026-05-20 12:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-20 14:00:00,2026-05-20 12:00:00,15,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 14:30:00,2026-05-20 12:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-20 14:30:00,2026-05-20 12:30:00,15,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 15:00:00,2026-05-20 13:00:00,119,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 15:30:00,2026-05-20 13:30:00,119,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 16:00:00,2026-05-20 14:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-20 16:00:00,2026-05-20 14:00:00,14,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-20 16:30:00,2026-05-20 14:30:00,14,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 17:00:00,2026-05-20 15:00:00,115,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 17:30:00,2026-05-20 15:30:00,115,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-20 18:00:00,2026-05-20 16:00:00,14,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-20 18:30:00,2026-05-20 16:30:00,14,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 06:00:00,2026-05-21 04:00:00,15,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 06:30:00,2026-05-21 04:30:00,15,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 07:00:00,2026-05-21 05:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 08:00:00,2026-05-21 06:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 08:00:00,2026-05-21 06:00:00,14,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 08:30:00,2026-05-21 06:30:00,14,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 09:00:00,2026-05-21 07:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 09:30:00,2026-05-21 07:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 10:00:00,2026-05-21 08:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 10:00:00,2026-05-21 08:00:00,14,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 10:30:00,2026-05-21 08:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-21 10:30:00,2026-05-21 08:30:00,14,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-21 11:00:00,2026-05-21 09:00:00,119,stunde_rekonstruiert,ha_lts_power_energy
